NIS code/code NIS;Jaar/Année;autodiefstal/vol de voiture;
11001;2000;18.08;
11002;2000;105.94;
11004;2000;17.85;
11005;2000;78.85;
11007;2000;50.62;
11008;2000;29.45;
11009;2000;44.46;
11013;2000;36.31;
11016;2000;25.44;
11018;2000;38.60;
11021;2000;39.65;
11022;2000;37.10;
11023;2000;34.10;
11024;2000;45.35;
11025;2000;15.99;
11029;2000;41.26;
11030;2000;55.26;
11035;2000;38.31;
11037;2000;45.11;
11038;2000;41.43;
11039;2000;37.98;
11040;2000;26.17;
11044;2000;19.69;
11050;2000;72.85;
11052;2000;50.38;
11053;2000;30.32;
11054;2000;41.21;
11055;2000;29.28;
11056;2000;23.63;
11057;2000;19.41;
12002;2000;18.14;
12005;2000;26.85;
12007;2000;10.55;
12009;2000;34.24;
12014;2000;13.04;
12021;2000;29.51;
12025;2000;54.50;
12026;2000;13.53;
12029;2000;19.24;
12030;2000;27.26;
12034;2000;8.13;
12035;2000;14.20;
12040;2000;48.75;
13001;2000;31.04;
13002;2000;14.52;
13003;2000;23.02;
13004;2000;19.37;
13006;2000;17.12;
13008;2000;40.02;
13010;2000;40.72;
13011;2000;40.28;
13012;2000;47.11;
13013;2000;12.44;
13014;2000;36.63;
13016;2000;19.84;
13017;2000;19.99;
13019;2000;52.41;
13021;2000;28.55;
13023;2000;18.77;
13025;2000;45.11;
13029;2000;44.72;
13031;2000;6.98;
13035;2000;15.92;
13036;2000;42.66;
13037;2000;17.56;
13040;2000;34.47;
13044;2000;20.98;
13046;2000;20.68;
13049;2000;31.60;
13053;2000;33.46;
21001;2000;193.35;
21002;2000;96.32;
21003;2000;78.92;
21004;2000;108.29;
21005;2000;134.46;
21006;2000;23.92;
21007;2000;117.91;
21008;2000;130.97;
21009;2000;127.96;
21010;2000;181.99;
21011;2000;212.59;
21012;2000;230.00;
21013;2000;205.07;
21014;2000;252.05;
21015;2000;158.91;
21016;2000;81.26;
21017;2000;74.26;
21018;2000;89.45;
21019;2000;61.45;
21020;2000;0.00;
23002;2000;48.12;
23003;2000;38.84;
23009;2000;15.80;
23016;2000;56.22;
23023;2000;13.83;
23024;2000;5.91;
23025;2000;50.71;
23027;2000;35.65;
23032;2000;34.18;
23033;2000;44.70;
23038;2000;33.44;
23039;2000;39.23;
23044;2000;18.00;
23045;2000;23.78;
23047;2000;12.40;
23050;2000;39.74;
23052;2000;21.87;
23060;2000;17.95;
23062;2000;41.54;
23064;2000;19.55;
23077;2000;40.22;
