NIS code/code NIS;Jaar/Année;diefstal uit of aan voertuig/vol dans ou sur un véhicule;
11001;2000;27.56;
11002;2000;516.52;
11004;2000;49.22;
11005;2000;236.47;
11007;2000;147.65;
11008;2000;70.01;
11009;2000;43.25;
11013;2000;104.74;
11016;2000;75.36;
11018;2000;81.45;
11021;2000;95.05;
11022;2000;30.21;
11023;2000;104.01;
11024;2000;84.13;
11025;2000;30.23;
11029;2000;244.01;
11030;2000;98.73;
11035;2000;74.75;
11037;2000;118.34;
11038;2000;81.58;
11039;2000;43.63;
11040;2000;64.00;
11044;2000;53.36;
11050;2000;189.37;
11052;2000;90.11;
11053;2000;50.62;
11054;2000;62.21;
11055;2000;34.96;
11056;2000;68.03;
11057;2000;45.62;
12002;2000;39.97;
12005;2000;30.75;
12007;2000;18.38;
12009;2000;102.00;
12014;2000;30.97;
12021;2000;132.47;
12025;2000;206.06;
12026;2000;22.98;
12029;2000;37.71;
12030;2000;58.94;
12034;2000;28.31;
12035;2000;37.14;
12040;2000;141.62;
13001;2000;47.77;
13002;2000;6.96;
13003;2000;22.38;
13004;2000;32.16;
13006;2000;86.96;
13008;2000;88.30;
13010;2000;60.62;
13011;2000;56.63;
13012;2000;49.30;
13013;2000;30.47;
13014;2000;59.67;
13016;2000;22.51;
13017;2000;28.04;
13019;2000;89.46;
13021;2000;28.65;
13023;2000;40.00;
13025;2000;81.32;
13029;2000;33.98;
13031;2000;10.57;
13035;2000;20.00;
13036;2000;38.29;
13037;2000;26.44;
13040;2000;112.88;
13044;2000;46.76;
13046;2000;50.76;
13049;2000;56.58;
13053;2000;35.02;
21001;2000;604.78;
21002;2000;287.60;
21003;2000;159.95;
21004;2000;641.47;
21005;2000;400.88;
21006;2000;176.95;
21007;2000;462.49;
21008;2000;341.05;
21009;2000;499.03;
21010;2000;420.84;
21011;2000;823.72;
21012;2000;738.98;
21013;2000;1073.00;
21014;2000;1346.03;
21015;2000;516.07;
21016;2000;216.42;
21017;2000;255.73;
21018;2000;342.79;
21019;2000;191.75;
21020;2000;0.00;
23002;2000;93.15;
23003;2000;92.45;
23009;2000;14.74;
23016;2000;111.98;
23023;2000;8.67;
23024;2000;11.22;
23025;2000;84.71;
23027;2000;100.95;
23032;2000;10.02;
23033;2000;110.35;
23038;2000;39.01;
23039;2000;89.10;
23044;2000;80.20;
23045;2000;55.25;
23047;2000;38.95;
23050;2000;73.67;
23052;2000;45.51;
23060;2000;32.59;
23062;2000;61.19;
23064;2000;48.29;
23077;2000;105.61;
23081;2000;76.52;
23086;2000;66.64;
23088;2000;125.40;
23094;2000;48.94;
23095;2000;0.00;
