NIS code/code NIS;Jaar/Année;ifg  algemeen totaal/vif  nombre total;
11001;2000;108.50;
11002;2000;63.40;
11004;2000;39.02;
11005;2000;105.88;
11007;2000;61.67;
11008;2000;55.38;
11009;2000;43.87;
11013;2000;49.70;
11016;2000;106.56;
11018;2000;61.60;
11021;2000;44.11;
11022;2000;61.19;
11023;2000;57.52;
11024;2000;23.92;
11025;2000;61.20;
11029;2000;98.85;
11030;2000;130.23;
11035;2000;75.19;
11037;2000;60.61;
11038;2000;62.62;
11039;2000;58.44;
11040;2000;56.35;
11044;2000;65.57;
11050;2000;81.40;
11052;2000;48.19;
11053;2000;50.15;
11054;2000;29.49;
11055;2000;21.06;
11056;2000;88.68;
11057;2000;35.46;
12002;2000;81.01;
12005;2000;45.02;
12007;2000;56.59;
12009;2000;89.27;
12014;2000;97.64;
12021;2000;76.05;
12025;2000;77.12;
12026;2000;55.95;
12029;2000;34.51;
12030;2000;56.75;
12034;2000;59.77;
12035;2000;39.23;
12040;2000;96.53;
13001;2000;60.95;
13002;2000;23.15;
13003;2000;68.86;
13004;2000;67.14;
13006;2000;136.74;
13008;2000;54.61;
13010;2000;44.69;
13011;2000;93.56;
13012;2000;45.82;
13013;2000;98.39;
13014;2000;31.98;
13016;2000;102.71;
13017;2000;44.02;
13019;2000;87.15;
13021;2000;65.51;
13023;2000;43.83;
13025;2000;65.22;
13029;2000;79.48;
13031;2000;50.47;
13035;2000;46.85;
13036;2000;60.59;
13037;2000;36.18;
13040;2000;146.90;
13044;2000;25.14;
13046;2000;41.27;
13049;2000;50.97;
13053;2000;70.32;
21001;2000;116.38;
21002;2000;93.68;
21003;2000;101.33;
21004;2000;123.88;
21005;2000;71.03;
21006;2000;96.35;
21007;2000;88.25;
21008;2000;80.12;
21009;2000;67.49;
21010;2000;84.69;
21011;2000;100.71;
21012;2000;106.29;
21013;2000;117.17;
21014;2000;122.66;
21015;2000;89.59;
21016;2000;74.68;
21017;2000;57.85;
21018;2000;76.08;
21019;2000;42.76;
21020;2000;0.00;
23002;2000;101.61;
23003;2000;105.94;
23009;2000;90.91;
23016;2000;93.78;
23023;2000;111.92;
23024;2000;58.23;
23025;2000;50.49;
23027;2000;104.00;
23032;2000;92.55;
23033;2000;37.91;
23038;2000;54.21;
23039;2000;53.38;
23044;2000;137.45;
23045;2000;78.74;
23047;2000;93.90;
23050;2000;59.66;
23052;2000;107.72;
23060;2000;84.02;
23062;2000;28.65;
23064;2000;40.65;
23077;2000;86.65;
23081;2000;32.42;
23086;2000;108.09;
23088;2000;86.22;
23094;2000;93.87;
23095;2000;0.00;
23096;2000;67.21;
23097;2000;121.06;
23098;2000;141.20;
23099;2000;58.81;
23100;2000;88.22;
23101;2000;48.94;
23102;2000;52.28;
23103;2000;47.13;
23104;2000;66.17;
23105;2000;79.98;
24001;2000;62.19;
24007;2000;42.94;
24008;2000;82.27;
24009;2000;33.01;
24011;2000;25.08;
24014;2000;25.19;
24016;2000;37.51;
24020;2000;78.12;
24028;2000;43.35;
24033;2000;13.78;
24038;2000;21.10;
24041;2000;145.10;
24043;2000;67.96;
24045;2000;20.44;
24048;2000;46.56;
24054;2000;69.16;
24055;2000;32.55;
24059;2000;63.15;
24062;2000;54.62;
24066;2000;62.40;
24086;2000;58.53;
24094;2000;56.82;
24104;2000;52.68;
24107;2000;76.88;
24109;2000;37.50;
24130;2000;64.70;
24133;2000;26.29;
24134;2000;120.28;
24135;2000;73.34;
24137;2000;52.25;
25005;2000;96.62;
25014;2000;111.05;
25015;2000;77.10;
25018;2000;54.69;
25023;2000;150.24;
25031;2000;89.37;
25037;2000;69.80;
25043;2000;69.14;
25044;2000;54.30;
25048;2000;84.80;
25050;2000;117.12;
25068;2000;189.79;
25072;2000;107.86;
25084;2000;87.12;
25091;2000;101.67;
25105;2000;130.52;
25107;2000;115.15;
25110;2000;45.98;
25112;2000;151.89;
25117;2000;98.79;
25118;2000;134.00;
25119;2000;47.42;
25120;2000;49.04;
25121;2000;112.58;
25122;2000;100.25;
25123;2000;124.73;
25124;2000;96.06;
31003;2000;42.80;
31004;2000;123.25;
31005;2000;100.35;
31006;2000;95.52;
31012;2000;67.77;
31022;2000;63.80;
31033;2000;146.38;
31040;2000;99.79;
31042;2000;28.41;
31043;2000;79.30;
32003;2000;150.78;
32006;2000;97.43;
32010;2000;81.02;
32011;2000;60.78;
32030;2000;25.58;
33011;2000;74.19;
33016;2000;78.33;
33021;2000;42.82;
33029;2000;120.12;
33037;2000;94.75;
33039;2000;44.40;
33040;2000;105.45;
33041;2000;53.23;
34002;2000;81.54;
34003;2000;90.14;
34009;2000;73.11;
34013;2000;135.56;
34022;2000;109.39;
34023;2000;77.00;
34025;2000;72.05;
34027;2000;90.55;
34040;2000;81.92;
34041;2000;132.95;
34042;2000;69.10;
34043;2000;183.49;
35002;2000;119.47;
35005;2000;98.22;
35006;2000;47.12;
35011;2000;139.62;
35013;2000;126.73;
35014;2000;61.55;
35029;2000;103.81;
36006;2000;125.36;
36007;2000;97.47;
36008;2000;124.72;
36010;2000;164.03;
36011;2000;71.85;
36012;2000;81.36;
36015;2000;107.48;
36019;2000;74.17;
37002;2000;41.31;
37007;2000;26.00;
37010;2000;122.66;
37011;2000;37.33;
37012;2000;37.02;
37015;2000;22.64;
37017;2000;63.48;
37018;2000;49.16;
37020;2000;59.47;
38002;2000;81.30;
38008;2000;130.59;
38014;2000;68.43;
38016;2000;157.79;
38025;2000;134.17;
41002;2000;135.41;
41011;2000;148.64;
41018;2000;115.39;
41024;2000;102.31;
41027;2000;104.48;
41034;2000;115.10;
41048;2000;98.05;
41063;2000;85.83;
41081;2000;123.00;
41082;2000;83.21;
42003;2000;106.58;
42004;2000;60.84;
42006;2000;118.66;
42008;2000;111.15;
42010;2000;74.79;
42011;2000;61.02;
42023;2000;84.79;
42025;2000;93.85;
42026;2000;99.91;
42028;2000;119.82;
43002;2000;96.67;
43005;2000;120.63;
43007;2000;103.49;
43010;2000;109.65;
43014;2000;42.72;
43018;2000;145.39;
44001;2000;34.80;
44011;2000;114.42;
44012;2000;73.19;
44013;2000;43.19;
44019;2000;147.28;
44020;2000;83.70;
44021;2000;123.58;
44029;2000;87.18;
44034;2000;68.56;
44036;2000;83.66;
44040;2000;86.57;
44043;2000;86.10;
44045;2000;65.73;
44048;2000;99.06;
44049;2000;57.71;
44052;2000;158.60;
44064;2000;135.68;
44072;2000;134.27;
44073;2000;112.62;
44080;2000;66.56;
44081;2000;54.70;
45017;2000;44.35;
45035;2000;122.36;
45041;2000;148.31;
45057;2000;50.35;
45059;2000;81.14;
45060;2000;122.05;
45061;2000;50.16;
45062;2000;56.90;
45063;2000;53.04;
45064;2000;70.61;
45065;2000;72.36;
46003;2000;91.69;
46013;2000;39.85;
46014;2000;121.65;
46020;2000;70.79;
46021;2000;124.43;
46024;2000;100.49;
46025;2000;111.19;
51004;2000;108.55;
51008;2000;143.07;
51009;2000;84.52;
51012;2000;73.96;
51014;2000;79.73;
51017;2000;83.85;
51019;2000;56.22;
51065;2000;93.63;
52010;2000;131.70;
52011;2000;173.75;
52012;2000;116.49;
52015;2000;147.67;
52018;2000;98.04;
52021;2000;107.01;
52022;2000;124.18;
52025;2000;116.43;
52043;2000;107.79;
52048;2000;85.65;
52055;2000;78.25;
52063;2000;60.30;
52074;2000;117.43;
52075;2000;94.20;
53014;2000;133.61;
53020;2000;108.73;
53028;2000;84.46;
53039;2000;138.04;
53044;2000;78.17;
53046;2000;32.74;
53053;2000;117.40;
53065;2000;119.68;
53068;2000;106.62;
53070;2000;105.25;
53082;2000;94.03;
53083;2000;58.51;
53084;2000;53.66;
54007;2000;141.23;
54010;2000;52.39;
55004;2000;119.77;
55010;2000;116.70;
55022;2000;87.67;
55023;2000;116.47;
55035;2000;173.30;
55039;2000;106.61;
55040;2000;93.08;
55050;2000;105.55;
56001;2000;156.58;
56005;2000;71.64;
56011;2000;51.87;
56016;2000;120.24;
56022;2000;185.51;
56029;2000;198.24;
56044;2000;97.27;
56049;2000;105.07;
56051;2000;57.94;
56078;2000;111.26;
56085;2000;52.96;
56086;2000;105.38;
56087;2000;134.15;
56088;2000;108.46;
57003;2000;103.93;
57018;2000;211.30;
57027;2000;121.63;
57062;2000;134.42;
57064;2000;111.63;
57072;2000;25.52;
57081;2000;72.38;
57093;2000;72.74;
57094;2000;155.96;
57095;2000;62.79;
61003;2000;185.96;
61010;2000;114.18;
61012;2000;142.21;
61019;2000;116.69;
61024;2000;132.89;
61028;2000;138.63;
61031;2000;171.21;
61039;2000;97.19;
61041;2000;127.60;
61043;2000;139.82;
61048;2000;220.36;
61063;2000;55.38;
61068;2000;137.51;
61072;2000;104.94;
61079;2000;186.17;
61080;2000;140.66;
61081;2000;24.04;
62003;2000;173.23;
62006;2000;167.43;
62009;2000;130.26;
62011;2000;157.02;
62015;2000;128.72;
62022;2000;56.50;
62026;2000;127.12;
62027;2000;99.44;
62032;2000;114.88;
62038;2000;167.90;
62051;2000;178.85;
62060;2000;125.04;
62063;2000;143.09;
62079;2000;177.69;
62093;2000;173.82;
62096;2000;154.80;
62099;2000;135.85;
62100;2000;121.05;
62108;2000;169.54;
62118;2000;156.23;
62119;2000;113.83;
62120;2000;193.03;
62121;2000;58.05;
62122;2000;165.34;
63001;2000;5.55;
63003;2000;89.10;
63004;2000;184.93;
63012;2000;15.08;
63013;2000;39.01;
63020;2000;206.01;
63023;2000;42.26;
63035;2000;97.87;
63038;2000;110.95;
63040;2000;83.09;
63045;2000;113.82;
