NIS code/code NIS;Jaar/Année;woninginbraak (strikt)/cambri. ds habitation (strict);
11001;2000;296.44;
11002;2000;204.43;
11004;2000;265.47;
11005;2000;133.67;
11007;2000;341.53;
11008;2000;182.38;
11009;2000;332.63;
11013;2000;260.77;
11016;2000;203.46;
11018;2000;219.69;
11021;2000;279.82;
11022;2000;255.94;
11023;2000;239.59;
11024;2000;303.58;
11025;2000;161.29;
11029;2000;242.12;
11030;2000;111.88;
11035;2000;348.01;
11037;2000;247.41;
11038;2000;142.38;
11039;2000;409.42;
11040;2000;212.88;
11044;2000;137.18;
11050;2000;289.94;
11052;2000;352.45;
11053;2000;328.06;
11054;2000;427.66;
11055;2000;352.43;
11056;2000;78.82;
11057;2000;225.44;
12002;2000;135.88;
12005;2000;224.07;
12007;2000;60.26;
12009;2000;171.76;
12014;2000;51.21;
12021;2000;108.27;
12025;2000;229.03;
12026;2000;199.61;
12029;2000;160.66;
12030;2000;114.50;
12034;2000;72.60;
12035;2000;147.37;
12040;2000;176.01;
13001;2000;63.40;
13002;2000;96.27;
13003;2000;103.19;
13004;2000;201.00;
13006;2000;101.98;
13008;2000;192.40;
13010;2000;335.00;
13011;2000;243.90;
13012;2000;232.71;
13013;2000;115.74;
13014;2000;265.05;
13016;2000;176.28;
13017;2000;208.40;
13019;2000;352.11;
13021;2000;336.28;
13023;2000;127.90;
13025;2000;81.59;
13029;2000;331.79;
13031;2000;90.95;
13035;2000;93.29;
13036;2000;308.64;
13037;2000;144.07;
13040;2000;79.44;
13044;2000;129.28;
13046;2000;154.25;
13049;2000;293.27;
13053;2000;277.05;
21001;2000;152.49;
21002;2000;201.90;
21003;2000;162.23;
21004;2000;183.94;
21005;2000;131.20;
21006;2000;166.74;
21007;2000;159.33;
21008;2000;121.64;
21009;2000;151.87;
21010;2000;158.63;
21011;2000;126.01;
21012;2000;134.34;
21013;2000;92.54;
21014;2000;121.25;
21015;2000;139.78;
21016;2000;274.48;
21017;2000;272.78;
21018;2000;209.34;
21019;2000;259.72;
21020;2000;0.00;
23002;2000;147.80;
23003;2000;287.73;
23009;2000;41.04;
23016;2000;224.76;
23023;2000;53.44;
23024;2000;94.58;
23025;2000;191.99;
23027;2000;117.28;
23032;2000;116.57;
23033;2000;298.35;
23038;2000;135.41;
23039;2000;213.53;
23044;2000;66.59;
23045;2000;117.17;
23047;2000;170.29;
23050;2000;238.38;
23052;2000;161.08;
23060;2000;103.64;
23062;2000;352.29;
23064;2000;104.17;
23077;2000;97.82;
23081;2000;183.79;
23086;2000;141.40;
23088;2000;169.71;
23094;2000;228.63;
23095;2000;0.00;
23096;2000;341.96;
23097;2000;104.22;
23098;2000;210.53;
23099;2000;357.63;
23100;2000;427.72;
23101;2000;421.38;
23102;2000;308.46;
23103;2000;321.09;
23104;2000;96.59;
23105;2000;112.61;
24001;2000;88.17;
24007;2000;67.59;
24008;2000;204.76;
24009;2000;137.76;
24011;2000;211.29;
24014;2000;260.74;
24016;2000;115.43;
