NIS code/code NIS;Jaar/Année;autodiefstal/vol de voiture;
11001;2000;40;
11002;2000;2299;
11004;2000;11;
11005;2000;52;
11007;2000;25;
11008;2000;56;
11009;2000;62;
11013;2000;38;
11016;2000;22;
11018;2000;16;
11021;2000;15;
11022;2000;35;
11023;2000;46;
11024;2000;51;
11025;2000;6;
11029;2000;45;
11030;2000;20;
11035;2000;37;
11037;2000;33;
11038;2000;15;
11039;2000;41;
11040;2000;43;
11044;2000;18;
11050;2000;38;
11052;2000;49;
11053;2000;30;
11054;2000;30;
11055;2000;31;
11056;2000;20;
11057;2000;15;
12002;2000;10;
12005;2000;20;
12007;2000;18;
12009;2000;26;
12014;2000;28;
12021;2000;47;
12025;2000;198;
12026;2000;14;
12029;2000;17;
12030;2000;23;
12034;2000;3;
12035;2000;15;
12040;2000;51;
13001;2000;21;
13002;2000;2;
13003;2000;25;
13004;2000;16;
13006;2000;9;
13008;2000;74;
13010;2000;25;
13011;2000;54;
13012;2000;21;
13013;2000;10;
13014;2000;39;
13016;2000;10;
13017;2000;19;
13019;2000;42;
13021;2000;14;
13023;2000;8;
13025;2000;76;
13029;2000;27;
13031;2000;5;
13035;2000;13;
13036;2000;23;
13037;2000;10;
13040;2000;66;
13044;2000;8;
13046;2000;10;
13049;2000;39;
13053;2000;27;
21001;2000;702;
21002;2000;131;
21003;2000;108;
21004;2000;1516;
21005;2000;218;
21006;2000;131;
21007;2000;273;
21008;2000;104;
21009;2000;583;
21010;2000;281;
21011;2000;130;
21012;2000;595;
21013;2000;368;
21014;2000;157;
21015;2000;635;
21016;2000;418;
21017;2000;85;
21018;2000;208;
21019;2000;120;
21020;2000;0;
23002;2000;72;
23003;2000;46;
23009;2000;2;
23016;2000;109;
23023;2000;6;
23024;2000;3;
23025;2000;88;
23027;2000;63;
23032;2000;13;
23033;2000;23;
23038;2000;21;
23039;2000;18;
23044;2000;10;
23045;2000;24;
23047;2000;54;
23050;2000;41;
23052;2000;17;
23060;2000;11;
23062;2000;55;
23064;2000;5;
23077;2000;60;
23081;2000;38;
23086;2000;22;
23088;2000;114;
23094;2000;100;
23095;2000;47;
23096;2000;76;
23097;2000;13;
23098;2000;39;
23099;2000;26;
23100;2000;15;
23101;2000;49;
23102;2000;70;
23103;2000;25;
23104;2000;12;
23105;2000;15;
24001;2000;38;
24007;2000;4;
24008;2000;8;
24009;2000;8;
24011;2000;20;
24014;2000;27;
24016;2000;12;
24020;2000;50;
24028;2000;3;
24033;2000;13;
24038;2000;22;
24041;2000;14;
24043;2000;8;
24045;2000;12;
24048;2000;13;
24054;2000;5;
24055;2000;27;
24059;2000;24;
24062;2000;214;
24066;2000;12;
24086;2000;10;
24094;2000;19;
24104;2000;30;
24107;2000;67;
24109;2000;13;
24130;2000;6;
24133;2000;4;
24134;2000;21;
24135;2000;7;
24137;2000;4;
25005;2000;10;
25014;2000;82;
25015;2000;31;
25018;2000;34;
25023;2000;32;
25031;2000;47;
25037;2000;45;
25043;2000;6;
25044;2000;18;
25048;2000;22;
25050;2000;28;
25068;2000;25;
25072;2000;152;
25084;2000;30;
25091;2000;43;
25105;2000;74;
25107;2000;24;
25110;2000;130;
25112;2000;122;
25117;2000;23;
25118;2000;4;
25119;2000;34;
25120;2000;7;
25121;2000;159;
25122;2000;8;
25123;2000;22;
25124;2000;24;
31003;2000;12;
31004;2000;40;
31005;2000;131;
31006;2000;8;
31012;2000;9;
31022;2000;21;
31033;2000;17;
31040;2000;22;
31042;2000;2;
31043;2000;48;
32003;2000;14;
32006;2000;5;
32010;2000;3;
32011;2000;4;
32030;2000;1;
33011;2000;53;
33016;2000;6;
33021;2000;17;
33029;2000;19;
33037;2000;11;
33039;2000;11;
33040;2000;2;
33041;2000;2;
34002;2000;4;
34003;2000;8;
34009;2000;14;
34013;2000;33;
34022;2000;212;
34023;2000;9;
34025;2000;9;
34027;2000;89;
34040;2000;48;
34041;2000;32;
34042;2000;21;
34043;2000;7;
35002;2000;19;
35005;2000;9;
35006;2000;10;
35011;2000;50;
35013;2000;211;
35014;2000;4;
35029;2000;16;
36006;2000;5;
36007;2000;10;
36008;2000;23;
36010;2000;10;
36011;2000;8;
36012;2000;11;
36015;2000;64;
36019;2000;2;
37002;2000;5;
37007;2000;6;
37010;2000;2;
37011;2000;5;
37012;2000;6;
37015;2000;5;
37017;2000;4;
37018;2000;6;
37020;2000;4;
38002;2000;5;
38008;2000;53;
38014;2000;45;
38016;2000;30;
38025;2000;12;
41002;2000;95;
41011;2000;14;
41018;2000;17;
41024;2000;5;
41027;2000;6;
41034;2000;11;
