NIS code/code NIS;Jaar/Année;diefstal uit of aan voertuig/vol dans ou sur un véhicule;
11001;2000;62;
11002;2000;11681;
11004;2000;32;
11005;2000;163;
11007;2000;77;
11008;2000;140;
11009;2000;64;
11013;2000;115;
11016;2000;69;
11018;2000;36;
11021;2000;38;
11022;2000;30;
11023;2000;148;
11024;2000;99;
11025;2000;12;
11029;2000;280;
11030;2000;38;
11035;2000;77;
11037;2000;91;
11038;2000;31;
11039;2000;50;
11040;2000;111;
11044;2000;52;
11050;2000;103;
11052;2000;91;
11053;2000;53;
11054;2000;48;
11055;2000;39;
11056;2000;61;
11057;2000;37;
12002;2000;23;
12005;2000;24;
12007;2000;33;
12009;2000;81;
12014;2000;70;
12021;2000;221;
12025;2000;781;
12026;2000;25;
12029;2000;35;
12030;2000;52;
12034;2000;11;
12035;2000;41;
12040;2000;155;
13001;2000;34;
13002;2000;1;
13003;2000;26;
13004;2000;28;
13006;2000;48;
13008;2000;173;
13010;2000;39;
13011;2000;80;
13012;2000;23;
13013;2000;26;
13014;2000;67;
13016;2000;12;
13017;2000;28;
13019;2000;76;
13021;2000;15;
13023;2000;18;
13025;2000;145;
13029;2000;22;
13031;2000;8;
13035;2000;17;
13036;2000;22;
13037;2000;16;
13040;2000;226;
13044;2000;19;
13046;2000;26;
13049;2000;74;
13053;2000;30;
21001;2000;2273;
21002;2000;410;
21003;2000;224;
21004;2000;9153;
21005;2000;678;
21006;2000;979;
21007;2000;1106;
21008;2000;283;
21009;2000;2344;
21010;2000;677;
21011;2000;521;
21012;2000;1971;
21013;2000;1999;
21014;2000;869;
21015;2000;2140;
21016;2000;1160;
21017;2000;307;
21018;2000;830;
21019;2000;391;
21020;2000;0;
23002;2000;146;
23003;2000;116;
23009;2000;2;
23016;2000;229;
23023;2000;4;
23024;2000;6;
23025;2000;155;
23027;2000;188;
23032;2000;4;
23033;2000;60;
23038;2000;26;
23039;2000;43;
23044;2000;47;
23045;2000;59;
23047;2000;171;
23050;2000;80;
23052;2000;37;
23060;2000;21;
23062;2000;86;
23064;2000;13;
23077;2000;166;
23081;2000;47;
23086;2000;54;
23088;2000;323;
23094;2000;342;
23095;2000;367;
23096;2000;107;
23097;2000;34;
23098;2000;67;
23099;2000;63;
23100;2000;36;
23101;2000;105;
23102;2000;170;
23103;2000;49;
23104;2000;11;
23105;2000;58;
24001;2000;73;
24007;2000;7;
24008;2000;8;
24009;2000;15;
24011;2000;25;
24014;2000;26;
24016;2000;20;
24020;2000;110;
24028;2000;3;
24033;2000;17;
24038;2000;34;
24041;2000;5;
24043;2000;8;
24045;2000;4;
24048;2000;19;
24054;2000;2;
24055;2000;33;
24059;2000;31;
24062;2000;503;
24066;2000;3;
24086;2000;20;
24094;2000;21;
24104;2000;84;
24107;2000;110;
24109;2000;10;
24130;2000;3;
24133;2000;16;
24134;2000;23;
24135;2000;16;
24137;2000;1;
25005;2000;17;
25014;2000;221;
25015;2000;51;
25018;2000;17;
25023;2000;32;
25031;2000;49;
25037;2000;23;
25043;2000;8;
25044;2000;23;
25048;2000;41;
25050;2000;102;
25068;2000;22;
25072;2000;405;
25084;2000;28;
25091;2000;117;
25105;2000;97;
25107;2000;34;
25110;2000;236;
25112;2000;219;
25117;2000;13;
25118;2000;15;
25119;2000;47;
25120;2000;14;
25121;2000;375;
25122;2000;5;
25123;2000;33;
25124;2000;19;
31003;2000;31;
31004;2000;70;
31005;2000;435;
31006;2000;20;
31012;2000;50;
31022;2000;70;
31033;2000;32;
31040;2000;39;
31042;2000;3;
31043;2000;163;
32003;2000;27;
32006;2000;9;
32010;2000;9;
32011;2000;24;
32030;2000;3;
33011;2000;71;
33016;2000;1;
33021;2000;17;
33029;2000;43;
33037;2000;20;
33039;2000;24;
33040;2000;8;
33041;2000;4;
34002;2000;20;
34003;2000;15;
34009;2000;18;
34013;2000;34;
34022;2000;430;
34023;2000;27;
34025;2000;1;
34027;2000;190;
34040;2000;101;
34041;2000;55;
34042;2000;19;
34043;2000;8;
35002;2000;67;
35005;2000;13;
35006;2000;22;
35011;2000;163;
35013;2000;549;
35014;2000;13;
35029;2000;73;
36006;2000;6;
36007;2000;11;
36008;2000;48;
36010;2000;11;
36011;2000;11;
36012;2000;19;
36015;2000;97;
36019;2000;3;
37002;2000;8;
37007;2000;7;
37010;2000;3;
37011;2000;10;
37012;2000;3;
37015;2000;25;
37017;2000;5;
37018;2000;7;
37020;2000;6;
38002;2000;6;
38008;2000;125;
38014;2000;72;
38016;2000;46;
38025;2000;21;
41002;2000;226;
41011;2000;27;
41018;2000;100;
41024;2000;28;
41027;2000;39;
41034;2000;19;
41048;2000;54;
41063;2000;5;
41081;2000;33;
41082;2000;37;
42003;2000;18;
42004;2000;22;
42006;2000;79;
42008;2000;22;
42010;2000;27;
42011;2000;24;
42023;2000;25;
42025;2000;73;
42026;2000;22;
42028;2000;55;
43002;2000;17;
43005;2000;52;
43007;2000;5;
43010;2000;14;
43014;2000;4;
43018;2000;28;
44001;2000;28;
44011;2000;56;
44012;2000;8;
44013;2000;32;
44019;2000;58;
44020;2000;7;
44021;2000;2745;
44029;2000;6;
44034;2000;25;
44036;2000;9;
44040;2000;25;
44043;2000;34;
44045;2000;7;
44048;2000;53;
44049;2000;21;
44052;2000;21;
44064;2000;18;
44072;2000;4;
44073;2000;5;
44080;2000;7;
44081;2000;13;
45017;2000;21;
45035;2000;60;
45041;2000;84;
45057;2000;0;
45059;2000;26;
45060;2000;20;
45061;2000;9;
45062;2000;2;
45063;2000;6;
45064;2000;3;
45065;2000;4;
46003;2000;97;
46013;2000;58;
46014;2000;310;
46020;2000;29;
46021;2000;206;
46024;2000;19;
46025;2000;71;
51004;2000;166;
51008;2000;59;
51009;2000;97;
51012;2000;15;
51014;2000;14;
51017;2000;9;
51019;2000;7;
51065;2000;23;
52010;2000;55;
52011;2000;3694;
52012;2000;279;
52015;2000;206;
52018;2000;87;
52021;2000;133;
52022;2000;108;
52025;2000;74;
52043;2000;198;
52048;2000;65;
52055;2000;71;
52063;2000;83;
52074;2000;48;
52075;2000;54;
53014;2000;476;
53020;2000;183;
53028;2000;357;
53039;2000;74;
53044;2000;39;
53046;2000;15;
53053;2000;2239;
53065;2000;224;
53068;2000;92;
53070;2000;480;
53082;2000;245;
53083;2000;20;
53084;2000;54;
54007;2000;1156;
54010;2000;136;
55004;2000;106;
55010;2000;72;
55022;2000;981;
55023;2000;57;
55035;2000;97;
55039;2000;14;
55040;2000;179;
55050;2000;47;
56001;2000;91;
56005;2000;29;
56011;2000;277;
56016;2000;44;
56022;2000;50;
56029;2000;27;
56044;2000;45;
56049;2000;14;
56051;2000;11;
56078;2000;138;
56085;2000;37;
56086;2000;42;
56087;2000;112;
56088;2000;7;
57003;2000;23;
57018;2000;2;
57027;2000;68;
57062;2000;42;
57064;2000;149;
57072;2000;38;
57081;2000;519;
57093;2000;9;
