NIS code/code NIS;Jaar/Année;ifg  algemeen totaal/vif  nombre total;
11001;2000;60;
11002;2000;1385;
11004;2000;17;
11005;2000;71;
11007;2000;27;
11008;2000;82;
11009;2000;41;
11013;2000;45;
11016;2000;65;
11018;2000;24;
11021;2000;13;
11022;2000;39;
11023;2000;58;
11024;2000;18;
11025;2000;17;
11029;2000;104;
11030;2000;47;
11035;2000;49;
11037;2000;34;
11038;2000;19;
11039;2000;43;
11040;2000;75;
11044;2000;44;
11050;2000;28;
11052;2000;22;
11053;2000;32;
11054;2000;13;
11055;2000;15;
11056;2000;65;
11057;2000;18;
12002;2000;32;
12005;2000;24;
12007;2000;44;
12009;2000;56;
12014;2000;147;
12021;2000;104;
12025;2000;248;
12026;2000;44;
12029;2000;21;
12030;2000;35;
12034;2000;17;
12035;2000;29;
12040;2000;90;
13001;2000;27;
13002;2000;2;
13003;2000;52;
13004;2000;39;
13006;2000;45;
13008;2000;73;
13010;2000;18;
13011;2000;97;
13012;2000;15;
13013;2000;53;
13014;2000;21;
13016;2000;36;
13017;2000;28;
13019;2000;48;
13021;2000;23;
13023;2000;12;
13025;2000;82;
13029;2000;33;
13031;2000;23;
13035;2000;23;
13036;2000;22;
13037;2000;14;
13040;2000;249;
13044;2000;7;
13046;2000;15;
13049;2000;43;
13053;2000;40;
21001;2000;486;
21002;2000;132;
21003;2000;86;
21004;2000;849;
21005;2000;155;
21006;2000;143;
21007;2000;194;
21008;2000;81;
21009;2000;297;
21010;2000;160;
21011;2000;77;
21012;2000;338;
21013;2000;255;
21014;2000;121;
21015;2000;441;
21016;2000;266;
21017;2000;70;
21018;2000;181;
21019;2000;75;
21020;2000;1;
23002;2000;117;
23003;2000;94;
23009;2000;7;
23016;2000;142;
23023;2000;34;
23024;2000;19;
23025;2000;70;
23027;2000;146;
23032;2000;22;
23033;2000;15;
23038;2000;22;
23039;2000;18;
23044;2000;65;
23045;2000;53;
23047;2000;46;
23050;2000;41;
23052;2000;60;
23060;2000;38;
23062;2000;26;
23064;2000;6;
23077;2000;104;
23081;2000;13;
23086;2000;60;
23088;2000;127;
23094;2000;106;
23095;2000;5;
23096;2000;53;
23097;2000;48;
23098;2000;28;
23099;2000;29;
23100;2000;17;
23101;2000;32;
23102;2000;31;
23103;2000;24;
23104;2000;22;
23105;2000;36;
24001;2000;73;
24007;2000;15;
24008;2000;18;
24009;2000;11;
24011;2000;8;
24014;2000;11;
24016;2000;10;
24020;2000;71;
24028;2000;10;
24033;2000;7;
24038;2000;15;
24041;2000;36;
24043;2000;22;
24045;2000;7;
24048;2000;21;
24054;2000;20;
24055;2000;23;
24059;2000;37;
24062;2000;232;
24066;2000;31;
24086;2000;22;
24094;2000;32;
24104;2000;41;
24107;2000;111;
24109;2000;19;
24130;2000;20;
24133;2000;7;
24134;2000;108;
24135;2000;28;
24137;2000;10;
25005;2000;22;
25014;2000;153;
25015;2000;27;
25018;2000;21;
25023;2000;50;
25031;2000;47;
25037;2000;30;
25043;2000;11;
25044;2000;12;
25048;2000;38;
25050;2000;34;
25068;2000;45;
25072;2000;114;
25084;2000;23;
25091;2000;84;
25105;2000;109;
25107;2000;39;
25110;2000;51;
25112;2000;190;
25117;2000;22;
25118;2000;16;
25119;2000;24;
25120;2000;14;
25121;2000;129;
25122;2000;20;
25123;2000;47;
25124;2000;20;
31003;2000;23;
31004;2000;103;
31005;2000;499;
31006;2000;39;
31012;2000;34;
31022;2000;52;
31033;2000;108;
31040;2000;82;
31042;2000;3;
31043;2000;123;
32003;2000;90;
32006;2000;33;
32010;2000;26;
32011;2000;28;
32030;2000;3;
33011;2000;103;
33016;2000;3;
33021;2000;32;
33029;2000;84;
33037;2000;41;
33039;2000;14;
33040;2000;30;
33041;2000;7;
34002;2000;42;
34003;2000;33;
34009;2000;32;
34013;2000;141;
34022;2000;342;
34023;2000;38;
34025;2000;15;
34027;2000;120;
34040;2000;112;
34041;2000;159;
34042;2000;62;
34043;2000;14;
35002;2000;70;
35005;2000;42;
35006;2000;24;
35011;2000;106;
35013;2000;421;
35014;2000;21;
35029;2000;52;
36006;2000;44;
36007;2000;40;
36008;2000;133;
36010;2000;58;
36011;2000;23;
36012;2000;33;
36015;2000;238;
36019;2000;30;
37002;2000;12;
37007;2000;11;
37010;2000;34;
37011;2000;9;
37012;2000;7;
37015;2000;17;
37017;2000;21;
37018;2000;24;
37020;2000;21;
38002;2000;15;
38008;2000;61;
38014;2000;62;
38016;2000;72;
38025;2000;60;
41002;2000;446;
41011;2000;102;
41018;2000;146;
41024;2000;70;
41027;2000;67;
41034;2000;78;
41048;2000;137;
41063;2000;31;
41081;2000;122;
41082;2000;62;
42003;2000;58;
42004;2000;33;
42006;2000;211;
42008;2000;99;
42010;2000;34;
42011;2000;43;
42023;2000;33;
42025;2000;90;
42026;2000;44;
42028;2000;91;
43002;2000;52;
43005;2000;99;
43007;2000;24;
43010;2000;95;
43014;2000;11;
43018;2000;77;
44001;2000;24;
44011;2000;125;
44012;2000;27;
44013;2000;29;
44019;2000;178;
44020;2000;38;
44021;2000;1306;
44029;2000;27;
44034;2000;48;
44036;2000;30;
44040;2000;35;
44043;2000;73;
44045;2000;15;
44048;2000;40;
44049;2000;24;
44052;2000;78;
44064;2000;44;
44072;2000;42;
44073;2000;29;
44080;2000;21;
44081;2000;30;
45017;2000;13;
45035;2000;138;
45041;2000;146;
45057;2000;13;
45059;2000;44;
45060;2000;29;
45061;2000;11;
45062;2000;4;
45063;2000;13;
45064;2000;16;
45065;2000;21;
46003;2000;161;
46013;2000;23;
46014;2000;174;
46020;2000;46;
46021;2000;352;
46024;2000;64;
46025;2000;113;
51004;2000;118;
51008;2000;78;
51009;2000;38;
51012;2000;10;
51014;2000;19;
51017;2000;19;
51019;2000;7;
51065;2000;40;
52010;2000;74;
52011;2000;1598;
52012;2000;177;
52015;2000;179;
52018;2000;42;
52021;2000;98;
52022;2000;89;
52025;2000;55;
52043;2000;94;
52048;2000;37;
52055;2000;49;
52063;2000;25;
52074;2000;50;
52075;2000;31;
53014;2000;110;
53020;2000;76;
53028;2000;75;
53039;2000;36;
53044;2000;28;
53046;2000;5;
53053;2000;495;
53065;2000;93;
53068;2000;29;
53070;2000;96;
53082;2000;79;
53083;2000;12;
53084;2000;16;
54007;2000;308;
54010;2000;37;
55004;2000;95;
55010;2000;52;
55022;2000;285;
55023;2000;83;
55035;2000;54;
55039;2000;30;
55040;2000;90;
55050;2000;42;
56001;2000;75;
56005;2000;19;
56011;2000;70;
56016;2000;47;
56022;2000;73;
56029;2000;27;
56044;2000;21;
56049;2000;17;
56051;2000;12;
56078;2000;66;
56085;2000;16;
56086;2000;55;
56087;2000;99;
56088;2000;20;
57003;2000;32;
57018;2000;43;
57027;2000;46;
57062;2000;28;
57064;2000;76;
57072;2000;5;
57081;2000;209;
57093;2000;21;
57094;2000;83;
57095;2000;8;
61003;2000;98;
61010;2000;12;
61012;2000;22;
61019;2000;20;
61024;2000;20;
61028;2000;22;
61031;2000;154;
61039;2000;19;
61041;2000;19;
61043;2000;27;
61048;2000;21;
61063;2000;7;
61068;2000;29;
61072;2000;51;
61079;2000;28;
61080;2000;33;
61081;2000;2;
62003;2000;205;
62006;2000;55;
62009;2000;56;
62011;2000;51;
62015;2000;64;
62022;2000;47;
62026;2000;27;
62027;2000;23;
62032;2000;65;
62038;2000;111;
62051;2000;284;
62060;2000;40;
62063;2000;1363;
62079;2000;172;
62093;2000;173;
62096;2000;429;
62099;2000;77;
62100;2000;56;
62108;2000;115;
62118;2000;151;
62119;2000;54;
62120;2000;215;
62121;2000;22;
62122;2000;52;
63001;2000;1;
63003;2000;13;
63004;2000;27;
63012;2000;3;
63013;2000;8;
63020;2000;120;
63023;2000;33;
63035;2000;61;
63038;2000;31;
63040;2000;37;
63045;2000;14;
63046;2000;34;
63048;2000;11;
63049;2000;37;
63057;2000;10;
63058;2000;79;
63061;2000;16;
63067;2000;18;
63072;2000;61;
63073;2000;20;
63075;2000;7;
63076;2000;43;
63079;2000;470;
63080;2000;26;
63084;2000;36;
63086;2000;6;
63087;2000;1;
63088;2000;16;
63089;2000;28;
64008;2000;33;
64015;2000;24;
64021;2000;23;
64023;2000;8;
64025;2000;4;
64029;2000;15;
64034;2000;56;
64047;2000;18;
64056;2000;13;
64063;2000;26;
64065;2000;35;
64074;2000;167;
64075;2000;16;
64076;2000;16;
71002;2000;25;
71004;2000;152;
71011;2000;46;
71016;2000;249;
71017;2000;20;
71020;2000;6;
71022;2000;176;
71024;2000;25;
71034;2000;37;
71037;2000;30;
71045;2000;49;
71047;2000;9;
71053;2000;130;
71057;2000;69;
71066;2000;52;
71067;2000;21;
71069;2000;31;
71070;2000;91;
72003;2000;22;
72004;2000;39;
72018;2000;23;
72020;2000;90;
72021;2000;101;
72025;2000;28;
72029;2000;16;
72030;2000;53;
72037;2000;23;
72038;2000;20;
72039;2000;86;
72040;2000;11;
72041;2000;63;
73001;2000;14;
73006;2000;61;
73009;2000;20;
73022;2000;22;
73028;2000;0;
73032;2000;14;
73040;2000;22;
73042;2000;65;
73066;2000;20;
73083;2000;82;
73098;2000;25;
73107;2000;69;
73109;2000;5;
81001;2000;122;
81003;2000;11;
81004;2000;87;
81013;2000;10;
81015;2000;23;
82003;2000;79;
82005;2000;4;
82009;2000;6;
82014;2000;15;
82032;2000;37;
82036;2000;6;
82037;2000;29;
82038;2000;14;
83012;2000;29;
83013;2000;3;
83028;2000;33;
83031;2000;15;
83034;2000;88;
83040;2000;18;
83044;2000;6;
83049;2000;7;
83055;2000;11;
84009;2000;54;
84010;2000;32;
84016;2000;4;
84029;2000;8;
84033;2000;17;
84035;2000;13;
84043;2000;62;
84050;2000;36;
84059;2000;30;
84068;2000;19;
84075;2000;5;
84077;2000;63;
85007;2000;17;
85009;2000;17;
85011;2000;32;
85024;2000;16;
85026;2000;24;
85034;2000;23;
85039;2000;15;
85045;2000;50;
85046;2000;33;
85047;2000;11;
91005;2000;28;
91013;2000;37;
91015;2000;6;
91030;2000;108;
91034;2000;130;
91054;2000;9;
91059;2000;26;
91064;2000;20;
91072;2000;19;
91103;2000;16;
91114;2000;87;
91120;2000;9;
91141;2000;26;
91142;2000;50;
91143;2000;7;
92003;2000;151;
92006;2000;14;
92035;2000;89;
92045;2000;37;
92048;2000;47;
92054;2000;34;
92087;2000;60;
92094;2000;715;
92097;2000;25;
92101;2000;56;
92114;2000;28;
92137;2000;148;
92138;2000;26;
92140;2000;98;
92141;2000;20;
92142;2000;106;
93010;2000;37;
93014;2000;58;
93018;2000;7;
93022;2000;47;
93056;2000;37;
93088;2000;52;
93090;2000;49;
11001;2006;39;
11002;2006;2675;
11004;2006;56;
11005;2006;83;
11007;2006;37;
11008;2006;154;
11009;2006;68;
11013;2006;63;
11016;2006;43;
11018;2006;39;
11021;2006;25;
11022;2006;62;
11023;2006;92;
11024;2006;62;
11025;2006;19;
11029;2006;84;
11030;2006;39;
11035;2006;52;
11037;2006;41;
11038;2006;39;
11039;2006;40;
11040;2006;162;
11044;2006;61;
11050;2006;31;
11052;2006;62;
11053;2006;48;
11054;2006;33;
11055;2006;71;
11056;2006;90;
11057;2006;32;
12002;2006;38;
12005;2006;46;
12007;2006;66;
12009;2006;46;
12014;2006;174;
12021;2006;129;
12025;2006;445;
12026;2006;71;
12029;2006;27;
12030;2006;47;
12034;2006;12;
12035;2006;55;
12040;2006;125;
13001;2006;25;
13002;2006;5;
13003;2006;80;
13004;2006;46;
13006;2006;20;
13008;2006;108;
13010;2006;36;
13011;2006;122;
13012;2006;31;
13013;2006;43;
13014;2006;35;
13016;2006;49;
13017;2006;60;
