NIS code/code NIS;Jaar/Année;woninginbraak (strikt)/cambri. ds habitation (strict);
11001;2000;158;
11002;2000;4579;
11004;2000;112;
11005;2000;90;
11007;2000;150;
11008;2000;260;
11009;2000;284;
11013;2000;239;
11016;2000;114;
11018;2000;83;
11021;2000;80;
11022;2000;155;
11023;2000;236;
11024;2000;217;
11025;2000;44;
11029;2000;258;
11030;2000;39;
11035;2000;215;
11037;2000;136;
11038;2000;43;
11039;2000;280;
11040;2000;273;
11044;2000;89;
11050;2000;94;
11052;2000;153;
11053;2000;197;
11054;2000;175;
11055;2000;243;
11056;2000;55;
11057;2000;112;
12002;2000;52;
12005;2000;116;
12007;2000;46;
12009;2000;104;
12014;2000;75;
12021;2000;145;
12025;2000;767;
12026;2000;152;
12029;2000;94;
12030;2000;68;
12034;2000;20;
12035;2000;104;
12040;2000;162;
13001;2000;26;
13002;2000;8;
13003;2000;74;
13004;2000;109;
13006;2000;33;
13008;2000;249;
13010;2000;127;
13011;2000;240;
13012;2000;71;
13013;2000;57;
13014;2000;162;
13016;2000;55;
13017;2000;123;
13019;2000;175;
13021;2000;114;
13023;2000;32;
13025;2000;100;
13029;2000;129;
13031;2000;40;
13035;2000;42;
13036;2000;105;
13037;2000;51;
13040;2000;133;
13044;2000;34;
13046;2000;53;
13049;2000;234;
13053;2000;149;
21001;2000;607;
21002;2000;279;
21003;2000;139;
21004;2000;1154;
21005;2000;281;
21006;2000;241;
21007;2000;361;
21008;2000;127;
21009;2000;580;
21010;2000;310;
21011;2000;101;
21012;2000;416;
21013;2000;193;
21014;2000;88;
21015;2000;647;
21016;2000;1022;
21017;2000;300;
21018;2000;513;
21019;2000;471;
21020;2000;0;
23002;2000;171;
23003;2000;253;
23009;2000;3;
23016;2000;334;
23023;2000;16;
23024;2000;30;
23025;2000;265;
23027;2000;160;
23032;2000;28;
23033;2000;114;
23038;2000;53;
23039;2000;71;
23044;2000;30;
23045;2000;75;
23047;2000;80;
23050;2000;161;
23052;2000;86;
23060;2000;45;
23062;2000;319;
23064;2000;15;
23077;2000;115;
23081;2000;71;
23086;2000;75;
23088;2000;236;
23094;2000;265;
23095;2000;0;
23096;2000;259;
23097;2000;40;
23098;2000;40;
23099;2000;185;
23100;2000;79;
23101;2000;283;
23102;2000;174;
23103;2000;167;
23104;2000;30;
23105;2000;50;
24001;2000;98;
24007;2000;23;
24008;2000;43;
24009;2000;44;
24011;2000;67;
24014;2000;108;
24016;2000;30;
24020;2000;153;
24028;2000;12;
24033;2000;69;
24038;2000;101;
24041;2000;25;
