Maand Jaar/Mois Année;Autodiefstal/Vol de voiture;Fietsdiefstal/Vol de vélo;Diefstal uit of aan voertuig/Vol dans ou sur un véhicule;Woninginbraak strict/Cambriolage ds habitation (strict);Diefstal gewapenderhand/Vol à main armée;Diefstal met geweld zonder wapen/Vol avec violence sans arme;Winkeldiefstal/Vol à l'étalage;Zakkenrollerij/Vol à la tire;Handtasroof/Arrachage de sac à main;Grafitti/Graffiti;Beschadiging van auto/Dégradation de voiture;Intrafamiliale geweld/Violence intra familiale
JAN 2006;1626;2401;8197;5093;583;1845;1707;2741;434;172;3649;3978
FEB 2006;1439;2169;7941;4227;493;1494;1680;2339;325;186;3358;3577
MAR 2006;1708;2632;9162;5331;573;1654;1902;2770;345;136;3958;4021
APR 2006;1518;2724;8136;4725;456;1469;1590;2351;299;173;4000;4273
MAY 2006;1513;3196;7993;4734;386;1413;1550;2331;241;158;4003;4388
JUN 2006;1435;3426;6802;4131;331;1303;1342;2713;225;127;4098;4481
JUL 2006;1403;3866;5607;4405;334;1190;1152;3003;236;101;3677;4859
AUG 2006;1534;3488;6585;4362;325;1112;1421;2386;238;160;3790;4211
SEP 2006;1512;3850;7094;4167;352;1261;1404;2493;239;134;4261;4963
OCT 2006;1525;3882;9193;4843;422;1586;1649;2886;346;184;4340;4754
NOV 2006;1616;2966;9870;5638;501;1520;1500;2437;344;187;3861;4149
DEC 2006;1565;2369;9842;6454;577;1640;1573;2876;373;199;4189;4397
JAN 2007;1685;2307;9758;5785;525;1486;1561;2770;314;236;4546;4413
FEB 2007;1367;2272;8394;5277;432;1304;1555;2510;259;220;3792;4119
MAR 2007;1484;2975;9182;5280;492;1426;1803;2891;291;242;4614;4458
APR 2007;1436;3472;7937;4369;430;1290;1540;2579;226;213;4456;4455
MAY 2007;1501;3402;8520;4368;380;1236;1509;2446;198;175;4353;4427
JUN 2007;1352;3377;7517;3920;367;1281;1470;2693;183;224;4522;4853
JUL 2007;1330;3210;6598;4609;348;1168;1292;2593;229;228;4112;4454
AUG 2007;1259;3507;5998;4099;370;1075;1398;2084;129;244;4171;4336
SEP 2007;1214;3403;6625;3983;369;1063;1444;2497;177;217;4202;4825
OCT 2007;1418;3753;8673;4893;436;1462;1688;2607;263;207;4495;4742
NOV 2007;1366;3015;8444;5169;533;1492;1578;2748;244;205;4287;4236
DEC 2007;1361;2176;8333;5706;581;1642;1555;2689;317;278;3942;4415
JAN 2008;1515;2395;8926;5260;531;1679;1719;2614;307;525;4286;4630
FEB 2008;1329;2658;8323;4818;514;1469;1745;2624;283;550;4410;4486
MAR 2008;1417;2540;9204;4590;470;1561;1739;2540;294;580;4707;4719
APR 2008;1279;2821;8336;4211;432;1486;1766;2372;238;634;4190;4264
MAY 2008;1312;3597;7161;4656;385;1461;1448;2513;227;513;4578;4822
JUN 2008;1349;3439;7204;4246;335;1392;1510;2536;237;504;4437;4555
JUL 2008;1228;3346;6651;4688;368;1232;1369;2808;205;603;4103;4252
AUG 2008;1160;3799;6096;4536;346;1100;1385;2572;178;630;4551;4599
SEP 2008;1143;3848;6188;4284;339;1236;1699;2666;193;490;4303;4471
OCT 2008;1434;3885;8032;5393;497;1739;1858;2588;337;568;4750;4719
NOV 2008;1298;3031;8533;5748;526;1604;1651;2470;341;524;4356;4485
DEC 2008;1336;2266;7622;6289;565;1607;1941;2566;358;463;4107;4500
JAN 2009;1317;2058;7577;5563;563;1622;1817;2473;289;460;4151;4336
FEB 2009;1272;2297;7563;5217;560;1503;1957;2398;275;626;4282;4229
MAR 2009;1371;2935;8118;6063;514;1574;2095;2769;310;590;4973;4489
APR 2009;1217;3271;6793;5187;478;1529;1848;2670;288;632;5187;4458
MAY 2009;1248;3480;6862;5210;443;1467;1721;2783;244;554;5381;4804
JUN 2009;1211;3608;6212;5026;436;1461;1747;2726;221;505;4898;4669
JUL 2009;1155;3495;5806;5202;387;1250;1618;2658;230;469;4372;4459
AUG 2009;1018;4152;5216;5100;410;1109;1653;2298;170;609;4860;4677
SEP 2009;1110;4028;5732;4725;410;1350;1974;2702;230;496;4642;4775
OCT 2009;1220;4030;7233;5248;514;1656;2188;2903;287;520;4970;4509
NOV 2009;1240;2992;7087;5828;566;1748;1990;2661;361;460;4567;4567
DEC 2009;1126;1956;6685;6176;581;1450;2121;2734;280;438;3844;4493
JAN 2010;1127;1913;6680;5874;619;1512;1982;2502;277;492;4016;4736
FEB 2010;992;2097;6295;5563;477;1532;2168;2540;268;499;3996;4208
MAR 2010;1258;2814;7530;6167;533;1715;2446;3040;295;565;5210;4602
APR 2010;1080;2994;6822;5450;435;1544;2165;2637;220;448;4787;4439
MAY 2010;1132;3177;6632;4938;409;1568;1995;2586;222;518;4843;4618
JUN 2010;1009;3720;5972;4673;364;1577;1898;2555;222;435;4825;4673
JUL 2010;1023;3972;5334;5091;345;1238;1625;3135;171;414;4425;4745
AUG 2010;952;3890;5733;4796;338;1156;1937;2615;173;406;4658;4598
SEP 2010;1082;3797;6459;4685;417;1510;2040;2817;191;413;4692;4643
OCT 2010;1244;3896;7576;5633;462;1760;2087;3160;255;422;4970;4659
NOV 2010;1137;2692;7482;5703;525;1658;2068;2963;305;447;4467;4341
DEC 2010;957;1813;6030;5023;453;1707;2162;2979;297;303;3362;4512
JAN 2011;1120;2003;7625;5917;570;1912;2137;3349;353;459;4849;4746
